Categoria itinerario,Città,Località,Via,Cap,Provincia,Regione,Sito/definizione manufatto,Epoca prima attestazione,Itinerario (periodo),Informazioni,URL immagine,Bibliografia,Sitografia,Tipologia edificio,Rifunzionalizzato,Tipo di rifunzionalizzazione,Latitude,Longitude
culturale,Pagani,Pagani Centro Città,Piazza Corpo Di Cristo,84016,SA,Campania,Chiesa,XVI secolo,Moderno,"La chiesa del corpo di cristo,fu costruita nel 1554, solo nel '700 assunse l'aspetto attuale, infatti all'interno si possono trovare dipinti ed affreschi di quell'epoca.",http://spod.databenc.it:45014/images/5d2e753f-cd0a-4928-a53d-442549a18173/luoghi-di-interesse-pagani-chiesa-parrocchiale-del-corpo-di-cristo (1).JPG,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.740850986912854,14.618504345125984
culturale,Pagani,Area Periferica Tra Pagani E Nocera Inferiore,Via Carmine,84016,SA,Campania,Chiesa,XV-XVI secolo,Moderno,Fondata nel 1191 dal duca di nocera francesco zurlo nel '600 fu teatro di sanguinosi scontri. all' inferla,NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.741360606625676,14.62410479754908
culturale,Nocera Superiore,Santa Maria Maggiore,Santa Maria Maggiore,84015,SA,Campania,Battistero paleocristiano,fine V - inizi VI,Tardo antico,Fu costruita dai bizantini nella seconda metà del vi secolo. ripete la struttura del battistero di santa costanza a roma. all'interno è presente una vasca battesimale ottagonale di oltre 7 metri di diametro. nell' edificio vi sono inoltre affreschi del '300 e '400.,https://upload.wikimedia.org/wikipedia/commons/5/59/Nocera1.jpg,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.74240708723664,14.667694568051957
culturale,Nocera Superiore,NULL,Viale Del Santuario,84015,SA,Campania,Chiesa,XI secolo,Medievale,"La chiesa di s.maria mater domini venne costruita nel 1060 e conservata da papa nicolò ii. affidata ai benedettini, nel 1631 passò ai basiliani, fino alla soppressione nel 1807, quando parte del convento venne destinata al manicomio. della vecchia chiesa sono la tela di guarino del 1615 raffigurante la vergine e altre di francesco solimena.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Struttura religiosa,Si,Parte della struttura divenne un manicomio oggi dismesso,40.753434151411064,14.68718254007399
culturale,Nocera Superiore,Pizzone,Stradale 18,84015,SA,Campania,Museo archeologico,90 a.C.,Antico,"La necrolopi ellenistica venne costruita ai lati di un asse stradale nel i secolo a.c. tra gli edifici funerari annoveriamo quello edificato dalla gens numisia , il mausoled della gens cornelia, con la parte inferiore quadrata, sormontata da un tholos ed infine un edificio simile costruito, però, dalla gens lutate.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio pubblico,Si,Museo cittadino all'aperto,40.74230968952179,14.666014797985556
culturale,Nocera Inferiore,Casolla,Via Casolla,84014,SA,Campania,Chiesa\Cappella,XVIII secolo,Moderno,"La cappella di san nicola, è formata da due piccole cappelle abbinate, la prima delle quali presenta un discreto pavimento ottocentesco di maiolica e un  magnifico soffitto ligneo con al centro una tela del sammartino del 1759.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.74244111776352,14.65
culturale,Nocera Inferiore,Borgo,Via Francesco Solimena,84014,SA,Campania,Edificio militare,XVI secolo,Moderno,"Sorto nella seconda metà del '500 il palazzo ducale dei carafa, presentava un maestoso giardino che attualmente è una villa comunale. saccheggiato dal popolo nel 1647 fu abbattuto da  carlo iii nel 1750 per costruire l'attuale caserma tofano, una tra i maggiori edifici in italia.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio militare,No,Abbandonato del tutto,40.74727714061737,14.642561562359333
culturale,Nocera Inferiore,Borgo,Piazza Zonardelli,84014,SA,Campania,Chiesa,XVI secolo,Moderno,"La chiesa del corpo di cristo, fueretta nel 1565 e a causa di molteplici furti, non c'è rimasto molto, se non qualche dipinto di scuola solimenica.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.740450918674476,14.618273321539164
culturale,Pagani,Pagani Centro Città,Piazza S. Alfonso,84016,SA,Campania,Basilica,XIX secolo,Moderno,"Costruita nel 1803, la basilica di s.alfonso  è adornata da vari dipinti del '700 e '800. la struttura segue lo stile neoclassico.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,Parte della chiesa è sede di molto eventi religiosi,40.742347240448,14.610652662813663
culturale,Sant'Egidio del Monte Albino,Sant'Egidio Del Monte Albino,Via Francesco Ferraioli,84010,SA,Campania,Chiesa,1000,Medievale,"Già esistente nel xi secolo, la chiesa della maddalena fu ricostruita tra il 1506 e il 1518. all'interno sono presenti molti quadri e affreschi del '500 e del '600.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.73287233710289,14.604074629023671
culturale,Pagani,Pagani Centro Città,Corso Ettore Padovano,84016,SA,Campania,Chiesa,XVII secolo,Moderno,"La chiesa di santa maria della purità,venne costruita nel 1680 non a caso perchè presenta una fcciata barocca e il pavimento di maionica, l'interno conserva dipinti del solimena.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.74144870042801,14.61510295048356
culturale,Pagani,Pagani Centro Città,Via Striano,84016,SA,Campania,Chiesa\Santuario,XVII secolo,Moderno,"Il santuario di maria ss. delle galline, costruito nel '600 presenta ricchi stucchi e decorazioni con un soffitto a cassettoni con 21 tele con soggetto mariano.",NULL,"Fonti estratte dalla brochure di monumenti a porte aperte 2000 a cura di ""archeoclub nuceria alfaterna""",NULL,Edificio religioso,No,NULL,40.74091498351435,14.61880666643388
